4095	2303	0	3831	2229	42
0	2559	0	13	2403	38
256	2559	0	270	2407	41
512	2559	0	525	2410	42
768	2559	0	765	2414	43
1024	2559	0	1009	2417	43
1280	2559	0	1253	2421	43
1536	2559	0	1491	2424	43
1792	2559	0	1707	2431	43
2048	2559	0	1944	2436	45
2303	2559	0	2185	2441	43
2559	2559	0	2416	2445	46
2815	2559	0	2652	2449	45
3071	2559	0	2884	2453	46
3327	2559	0	3126	2456	46
3583	2559	0	3339	2462	47
3839	2559	0	3568	2467	48
4095	2559	0	3841	2470	49
0	2815	0	15	2655	42
256	2815	0	274	2659	48
512	2815	0	529	2662	46
768	2815	0	771	2665	48
1024	2815	0	1018	2668	48
1280	2815	0	1259	2672	49
1536	2815	0	1496	2676	48
1792	2815	0	1710	2684	49
2048	2815	0	1951	2688	52
2303	2815	0	2192	2693	49
2559	2815	0	2425	2696	52
2815	2815	0	2660	2701	51
3071	2815	0	2890	2705	52
3327	2815	0	3135	2708	50
3583	2815	0	3350	2714	52
3839	2815	0	3575	2719	55
4095	2815	0	3849	2722	55
0	3071	0	18	2899	45
256	3071	0	277	2903	51
512	3071	0	533	2906	51
768	3071	0	776	2909	53
1024	3071	0	1026	2912	54
1280	3071	0	1265	2917	54
1536	3071	0	1503	2920	55
1792	3071	0	1719	2927	55
2048	3071	0	1956	2932	56
2303	3071	0	2198	2937	56
2559	3071	0	2427	2941	57
2815	3071	0	2664	2946	56
3071	3071	0	2900	2949	59
3327	3071	0	3142	2953	59
3583	3071	0	3354	2959	60
3839	3071	0	3585	2963	61
4095	3071	0	3857	2966	64
0	3327	0	20	3143	49
256	3327	0	282	3147	53
512	3327	0	539	3150	54
768	3327	0	781	3153	55
1024	3327	0	1029	3156	56
1280	3327	0	1274	3160	56
1536	3327	0	1514	3162	56
1792	3327	0	1723	3172	58
2048	3327	0	1967	3176	60
2303	3327	0	2208	3181	60
2559	3327	0	2437	3185	61
2815	3327	0	2678	3189	62
3071	3327	0	2909	3192	63
3327	3327	0	3155	3195	61
3583	3327	0	3361	3202	62
3839	3327	0	3589	3207	62
4095	3327	0	3866	3209	62
0	3583	0	23	3416	53
256	3583	0	284	3420	58
512	3583	0	542	3423	59
768	3583	0	783	3426	61
1024	3583	0	1033	3428	61
1280	3583	0	1275	3432	61
1536	3583	0	1514	3435	62
1792	3583	0	1728	3443	62
